iter	Passed	Remaining
836	4511	878
837	4515	873
838	4520	867
839	4525	861
840	4529	856
841	4534	850
842	4539	845
843	4543	839
844	4548	834
845	4553	828
846	4558	823
847	4563	817
848	4568	812
849	4572	806
850	4577	801
851	4582	795
852	4586	790
853	4591	785
854	4596	779
855	4601	774
856	4606	768
857	4610	763
858	4615	757
859	4620	752
860	4625	746
861	4629	741
862	4634	735
863	4639	730
864	4643	724
865	4648	719
866	4653	713
867	4658	708
868	4662	702
869	4667	697
870	4672	692
871	4677	686
872	4682	681
873	4687	675
874	4693	670
875	4699	665
876	4703	659
877	4708	654
878	4713	648
879	4718	643
880	4723	638
881	4728	632
882	4732	627
883	4737	621
884	4742	616
885	4746	610
886	4751	605
887	4756	599
888	4761	594
889	4765	589
890	4770	583
891	4775	578
892	4780	572
893	4784	567
894	4790	561
895	4794	556
896	4799	551
897	4804	545
898	4808	540
899	4813	534
900	4818	529
901	4823	524
902	4828	518
903	4832	513
904	4837	507
905	4842	502
906	4847	497
907	4851	491
908	4856	486
909	4861	480
910	4865	475
911	4870	469
912	4874	464
913	4879	459
914	4884	453
915	4889	448
916	4894	442
917	4899	437
918	4905	432
919	4909	426
920	4914	421
921	4920	416
922	4925	410
923	4930	405
924	4936	400
925	4942	394
926	4947	389
927	4951	384
928	4956	378
929	4961	373
930	4966	368
931	4971	362
932	4976	357
933	4980	351
934	4985	346
935	4990	341
936	4994	335
937	4999	330
938	5004	325
939	5009	319
940	5014	314
941	5018	309
942	5023	303
943	5028	298
944	5033	292
945	5037	287
946	5042	282
947	5046	276
948	5051	271
949	5056	266
950	5061	260
951	5066	255
952	5070	250
953	5075	244
954	5080	239
955	5085	234
956	5090	228
957	5095	223
958	5100	218
959	5105	212
960	5111	207
961	5116	202
962	5120	196
963	5125	191
964	5130	186
965	5135	180
966	5139	175
967	5144	170
968	5149	164
969	5154	159
970	5159	154
971	5163	148
972	5168	143
973	5173	138
974	5178	132
975	5182	127
976	5187	122
977	5192	116
978	5197	111
979	5202	106
980	5207	100
981	5211	95
982	5216	90
983	5221	84
984	5226	79
985	5231	74
986	5235	68
987	5240	63
988	5246	58
989	5250	53
990	5255	47
991	5261	42
992	5266	37
993	5270	31
994	5275	26
995	5279	21
996	5284	15
997	5290	10
998	5295	5
999	5306	0
